Sounding,11.9,5.8,14.5,13.5,3.56,3.82,2.85,7.8,6.75,2.79,5,2.49,6.5,8.02,6.38,4.1,2,2.3,10,10,2.3,3.5,2.8,1.9,1.9,3.5,3.5,3.5,5.2,5.2,6.7,6.7,6.2,5.3,5.3,4.1,3.5,3.5,2.1,2.1,1.8,1.8,1.7,1.7,6.5,6.5,5,5,5,5,5,5,4.8,4.8,3.5,2.3,2.3,5,3.5,2.5,2.5,5,5,3.5,3.5,2.7,2.7,2,2
Analysis,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3
Collection,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
Preservation,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
Storage,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2
Sample Type,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
Ancillary Data,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Units,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
1.32,2.5994,2.7085,2.3029,1.9135,1.2493,0.8396,1.0723,1.0935,1.634,1.1004,1.3067,0.7868,1.103,1.9591,0.3486,1.0105,0.6013,0.5053,0.6928,0.4293,0.3821,0.9857,0.8948,1.0306,0.5572,2.5744,0.0104,2.1914,0.4891,1.0577,0.1212,1.0382,0.2066,0.769,0.2023,0.2936,0.104,1.07,0.7193,3.1417,0.5619,0.9688,0.3069,0.9407,0.1022,0.7813,0.4755,0.4692,20.9999,24.1063,0.2017,0.6608,0.2899,0.0094,1.2354,0.7451,0.6376,0.2144,1.3163,0.4821,1.5161,0.2531,0.6784,0.3037,0.4891,0.2866,0.2866,0.3983,0.3654
1.52,2.6663,2.7494,2.3243,1.9992,1.2733,0.9077,1.1252,1.1883,1.7528,1.1672,1.4054,0.8394,1.1646,1.9758,0.3336,1.0861,0.6407,0.5514,0.7573,0.4596,0.4207,1.0851,0.9981,1.122,0.6003,2.771,0.0111,2.4954,0.5431,1.1464,0.1291,1.1466,0.226,0.8484,0.2244,0.3192,0.113,1.1338,0.761,3.4112,0.5753,1.0127,0.3144,1.0141,0.1096,0.8607,0.5168,0.4912,22.4471,26.8028,0.2182,0.7229,0.3111,0.0096,1.336,0.7909,0.6897,0.2396,1.441,0.5083,1.6314,0.2759,0.7194,0.3262,0.5431,0.3157,0.3121,0.4176,0.3967
1.74,2.7007,2.7605,2.4758,2.0466,1.3081,0.9426,1.1253,1.2753,1.8417,1.2299,1.4762,0.8483,1.1982,2.0382,0.3243,1.1534,0.6759,0.5829,0.7996,0.4774,0.4481,1.1171,1.0215,1.1857,0.634,3.0745,0.0111,2.6847,0.5665,1.2379,0.1348,1.2533,0.2414,0.8323,0.2346,0.3474,0.1226,1.213,0.807,3.6905,0.5695,1.0916,0.3448,1.0805,0.1149,0.8561,0.5213,0.5438,24.4513,28.31,0.2269,0.7798,0.3251,0.0092,1.4169,0.8309,0.7126,0.2484,1.5433,0.5276,1.7734,0.2974,0.7258,0.3399,0.5665,0.3116,0.3178,0.4396,0.4182
2,2.7247,2.6616,2.503,2.0148,1.3272,0.9945,1.1815,1.2719,1.8785,1.268,1.5282,0.8441,1.0782,1.989,0.3127,1.1809,0.7047,0.5893,0.8726,0.5122,0.4911,1.195,1.0578,1.1831,0.6758,3.27,0.0107,2.9366,0.6083,1.2586,0.1417,1.2947,0.2488,0.882,0.2435,0.3703,0.1238,1.2821,0.8302,3.9932,0.5702,1.1575,0.329,1.1194,0.117,0.9014,0.5379,0.5353,26.905,31.4202,0.2304,0.8054,0.3241,0.0095,1.5504,0.8756,0.7338,0.2529,1.6507,0.5724,1.9044,0.3035,0.7653,0.3595,0.6083,0.327,0.3279,0.4387,0.4324
2.3,2.7324,2.7399,2.531,1.9911,1.3065,0.981,1.1524,1.3478,1.8609,1.2672,1.4788,0.8685,0.9623,2.0743,0.2701,1.1306,0.6949,0.6275,0.8949,0.5169,0.5179,1.2379,1.0604,1.2269,0.6714,3.3686,0.0106,2.9805,0.6302,1.3075,0.1396,1.301,0.2717,0.875,0.245,0.3732,0.1359,1.2643,0.8892,4.0093,0.5467,1.2194,0.335,1.1822,0.1176,0.8802,0.5224,0.5719,28.1077,34.7979,0.2331,0.8045,0.3129,0.0098,1.6138,0.9307,0.7554,0.255,1.7307,0.4937,2.0213,0.3134,0.7438,0.3573,0.6302,0.3361,0.3172,0.4756,0.4571
2.64,2.8092,2.5369,2.7467,2.1672,1.2936,0.9706,1.2375,1.2127,1.9568,1.3075,1.4225,0.8276,0.8478,2.111,0.2388,1.0852,0.6831,0.6272,0.9391,0.5448,0.5384,1.2371,1.0804,1.2647,0.6615,3.3853,0.0113,2.8916,0.6009,1.3161,0.1415,1.2989,0.2586,0.8177,0.24,0.3528,0.1282,1.254,0.8779,3.9412,0.4855,1.2088,0.3217,1.1997,0.1148,0.8622,0.5107,0.5392,29.761,36.0662,0.2212,0.7919,0.3292,0.0094,1.6087,0.9353,0.8163,0.2398,1.7971,0.4964,2.1807,0.3076,0.7351,0.3537,0.6009,0.3114,0.3104,0.4471,0.4416
3.03,2.786,2.5362,2.7046,2.0521,1.2138,1.0673,1.0895,1.3225,1.8398,1.3207,1.4624,0.9142,0.6721,2.2479,0.242,0.9775,0.6729,0.6243,0.8828,0.5817,0.574,1.244,1.1711,1.2425,0.6309,3.5721,0.0103,2.8975,0.5583,1.3602,0.1254,1.1862,0.2492,0.7341,0.2107,0.3239,0.1329,1.2152,0.8723,3.9641,0.4521,1.1415,0.3096,1.1759,0.1094,0.8269,0.4305,0.4984,30.4615,35.8916,0.2002,0.7559,0.2826,0.0094,1.6222,0.9751,0.8049,0.2128,1.7785,0.4933,2.2475,0.2782,0.6817,0.3219,0.5583,0.301,0.2998,0.4344,0.4349
3.48,2.6513,2.1664,2.586,1.7421,1.113,0.955,1.0936,1.3203,1.8148,1.4814,1.5046,0.9505,0.6007,1.9729,0.2194,0.9205,0.6125,0.5737,0.9368,0.5892,0.521,1.3492,1.0049,1.1702,0.591,3.1581,0.0105,2.471,0.5556,1.0492,0.1127,1.0386,0.2273,0.6222,0.2004,0.3095,0.1161,1.0323,0.9066,3.4877,0.3728,1.0415,0.2764,0.9923,0.0985,0.7959,0.3889,0.4375,30.6359,35.2903,0.1928,0.6666,0.2149,0.0069,1.6523,0.9025,0.713,0.1941,1.8148,0.4532,2.262,0.2725,0.7908,0.2778,0.5556,0.2301,0.2325,0.4126,0.3929
4,2.7014,2.2688,2.7452,2.1297,1.0959,0.8558,0.9874,1.4232,1.7451,1.4341,1.6103,0.9031,0.4563,2.1755,0.2038,0.7589,0.5545,0.583,0.8857,0.5761,0.4963,1.2948,1.0054,1.1623,0.5604,3.1773,0.0075,2.4611,0.5164,1.0798,0.0913,0.8032,0.2063,0.5282,0.1779,0.2662,0.1097,0.9551,0.8086,2.849,0.3441,1.0553,0.2419,0.9394,0.094,0.7577,0.303,0.3581,30.8074,38.1988,0.144,0.5666,0.2068,0.0069,1.4924,0.8803,0.7162,0.145,1.8283,0.4244,2.3524,0.2247,0.7272,0.2289,0.5164,0.2258,0.2103,0.3572,0.3867
4.59,2.9081,2.2723,2.9947,2.4202,1.0536,0.8602,0.8809,1.3288,2.004,1.5375,1.5566,0.8833,0.4061,2.0658,0.2242,0.5544,0.5544,0.488,0.8672,0.635,0.4951,1.2435,0.9363,1.0387,0.472,2.962,0.0085,2.1424,0.4932,0.8355,0.0891,0.7614,0.1706,0.3691,0.1604,0.2253,0.0874,0.8068,0.6925,2.1962,0.2418,0.9241,0.2293,0.8543,0.0976,0.5786,0.2641,0.3173,26.329,35.8111,0.1138,0.5148,0.1254,0.0073,1.4016,0.7903,0.6639,0.1274,1.4344,0.3382,2.4385,0.2046,0.5775,0.184,0.4932,0.1554,0.1719,0.2801,0.3686
